Season,Team,Player,Nationality,Role,Age,Presences,Gol,Assist,Penalty Goal,Penalty Attempt,Expected Goals,Expected Assists,Progressive Carries,Progressive Passes,Progressive Receptions,Goals per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists per 90 minutes
2425,Genoa,Morten Frendrup,DEN,Centrocampista,23-142,2,0,0,0,0,0.1,0.0,1,5,3,0.0,0.0,0.03,0.0
2425,Genoa,Morten Thorsby,NOR,Centrocampista,28-114,2,0,0,0,0,0.5,0.0,0,2,1,0.0,0.0,0.89,0.0
2425,Genoa,Pierluigi Gollini,ITA,Portiere,29-162,2,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Genoa,Ruslan Malinovskyi,UKR,,31-115,2,0,0,0,0,0.0,0.4,1,5,1,0.0,0.0,0.04,0.38
2425,Genoa,Stefano Sabelli,ITA,,31-227,2,0,1,0,0,0.0,0.1,2,3,3,0.0,1.11,0.03,0.16
2425,Genoa,Vitinha,POR,Attaccante,24-165,2,0,0,0,0,0.2,0.0,6,1,11,0.0,0.0,0.12,0.0
2425,Hellas Verona,Abdou Harroui,NED,Attaccante,26-227,2,0,0,0,0,0.2,0.0,3,0,7,0.0,0.0,0.31,0.0
2425,Hellas Verona,Casper Tengstedt,DEN,Attaccante,24-087,2,0,0,0,0,0.1,0.0,3,0,5,0.0,0.0,0.11,0.0
2425,Hellas Verona,Dailon Livramento,CPV,Attaccante,23-115,2,1,0,1,0,0.4,0.0,3,0,6,0.7,0.0,0.26,0.0
2425,Hellas Verona,Daniel Bandeira,POR,Centrocampista,24-138,1,0,0,0,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0
2425,Hellas Verona,Daniel Mosquera,COL,Attaccante,24-312,2,2,0,2,0,1.3,0.2,1,0,5,2.47,0.0,1.6,0.23
2425,Hellas Verona,Darko Lazović,SRB,Centrocampista,33-347,2,0,2,0,0,0.2,1.1,2,3,6,0.0,1.18,0.11,0.63
2425,Hellas Verona,Diego Coppola,ITA,Difensore,20-243,2,0,0,0,0,0.0,0.0,1,2,0,0.0,0.0,0.0,0.0
2425,Hellas Verona,Faride Alidou,GER,,23-040,1,0,0,0,0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0
2425,Hellas Verona,Giangiacomo Magnani,ITA,Difensore,28-328,2,0,0,0,0,0.0,0.0,1,3,3,0.0,0.0,0.04,0.0
2425,Hellas Verona,Grigoris Kastanos,CYP,Attaccante,26-210,1,0,0,0,0,0.0,0.0,0,3,2,0.0,0.0,0.04,0.05
2425,Hellas Verona,Jackson Tchatchoua,CMR,Centrocampista,22-348,2,0,0,0,0,0.0,0.3,6,4,13,0.0,0.0,0.02,0.14
2425,Hellas Verona,Lorenzo Montipò,ITA,Portiere,28-189,2,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Hellas Verona,Martin Frese,DEN,Difensore,26-236,2,0,0,0,0,0.0,0.0,0,3,1,0.0,0.0,0.0,0.0
2425,Hellas Verona,Ondrej Duda,SVK,Centrocampista,29-266,2,0,1,0,0,0.0,0.4,1,12,3,0.0,0.52,0.0,0.22
2425,Hellas Verona,Paweł Dawidowicz,POL,Difensore,29-099,2,0,0,0,0,0.0,0.0,1,8,0,0.0,0.0,0.0,0.0
2425,Hellas Verona,Reda Belahyane,FRA,Centrocampista,20-087,2,0,0,0,0,0.0,0.0,2,11,1,0.0,0.0,0.0,0.0
2425,Hellas Verona,Suat Serdar,GER,Centrocampista,27-138,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Hellas Verona,Tomáš Suslov,SVK,Attaccante,22-081,2,0,0,0,0,0.2,0.0,1,3,1,0.0,0.0,0.11,0.03
2425,Inter,Alessandro Bastoni,ITA,Difensore,25-136,2,0,0,0,0,0.0,0.1,7,15,13,0.0,0.0,0.0,0.05
2425,Inter,Benjamin Pavard,FRA,Difensore,28-152,1,0,0,0,0,0.0,0.0,1,5,2,0.0,0.0,0.0,0.0
2425,Inter,Carlos Augusto,BRA,Difensore,25-233,2,0,0,0,0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0
2425,Inter,Davide Frattesi,ITA,Centrocampista,24-310,2,0,1,0,0,0.1,0.5,1,2,0,0.0,2.05,0.12,0.97
2425,Inter,Denzel Dumfries,NED,Difensore,28-131,2,0,0,0,0,0.0,0.0,1,2,2,0.0,0.0,0.0,0.07
2425,Inter,Federico Dimarco,ITA,Difensore,26-291,2,0,0,0,0,0.5,0.2,1,6,12,0.0,0.0,0.29,0.14
2425,Inter,Francesco Acerbi,ITA,Difensore,36-199,2,0,0,0,0,0.0,0.0,1,11,0,0.0,0.0,0.0,0.0
2425,Inter,Hakan Çalhanoğlu,TUR,Centrocampista,30-201,2,1,0,0,1,0.8,0.4,3,16,6,0.58,0.0,0.47,0.22
2425,Inter,Henrikh Mkhitaryan,ARM,Centrocampista,35-219,2,0,0,0,0,0.1,0.0,2,10,5,0.0,0.0,0.04,0.0
2425,Inter,Kristjan Asllani,ALB,Centrocampista,22-171,2,0,0,0,0,0.3,0.0,0,0,2,0.0,0.0,1.79,0.0
2425,Inter,Lautaro Martínez,ARG,Attaccante,27-005,1,0,0,0,0,0.3,0.0,0,2,4,0.0,0.0,0.34,0.0
2425,Inter,Marcus Thuram,FRA,Attaccante,27-021,2,2,0,2,0,1.2,0.4,5,2,15,1.09,0.0,0.66,0.21
2425,Inter,Marko Arnautović,AUT,Attaccante,35-130,1,0,0,0,0,0.4,0.0,0,2,2,0.0,0.0,2.25,0.0
2425,Inter,Matteo Darmian,ITA,Difensore,34-269,2,1,0,1,0,0.4,0.0,1,4,12,0.66,0.0,0.29,0.0
2425,Inter,Mehdi Taremi,IRN,Attaccante,32-040,2,0,1,0,0,0.1,0.5,0,3,9,0.0,0.85,0.08,0.45
2425,Inter,Nicolò Barella,ITA,Centrocampista,27-202,2,0,1,0,0,0.1,0.6,0,14,8,0.0,0.56,0.05,0.31
2425,Inter,Yann Aurel Bisseck,GER,Difensore,23-272,1,0,0,0,0,0.2,0.0,3,8,8,0.0,0.0,0.21,0.0
2425,Inter,Yann Sommer,SUI,Portiere,35-254,2,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Juventus,Andrea Cambiaso,ITA,,24-189,2,1,0,1,0,0.1,0.4,5,3,7,0.52,0.0,0.06,0.23
2425,Juventus,Danilo,BRA,Difensore,33-043,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Juventus,Douglas Luiz,BRA,Centrocampista,26-110,2,0,0,0,0,0.0,0.0,2,2,3,0.0,0.0,0.06,0.0
2425,Juventus,Dušan Vlahović,SRB,Attaccante,24-212,2,2,0,1,1,1.7,0.0,1,1,6,1.0,0.0,0.85,0.0
2425,Juventus,Federico Gatti,ITA,Difensore,26-064,2,0,0,0,0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.01
2425,Juventus,Gleison Bremer,BRA,Difensore,27-162,2,0,0,0,0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0
2425,Juventus,Jonas Rouhi,SWE,Difensore,20-233,1,0,0,0,0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0
2425,Juventus,Juan David Cabal,COL,Difensore,23-232,2,0,0,0,0,0.1,0.0,5,4,6,0.0,0.0,0.03,0.02
2425,Juventus,Kenan Yıldız,TUR,,19-115,2,0,2,0,0,0.1,0.6,11,8,7,0.0,1.0,0.06,0.28
2425,Juventus,Khéphren Thuram,FRA,Centrocampista,23-154,1,0,0,0,0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0
2425,Juventus,Lorenzo Anghelè,ITA,Attaccante,19-183,1,0,0,0,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0
2425,Juventus,Manuel Locatelli,ITA,Centrocampista,26-232,2,0,0,0,0,0.0,0.0,1,11,1,0.0,0.0,0.01,0.02
2425,Juventus,Michele Di Gregorio,ITA,Portiere,27-031,2,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Juventus,Nicolò Fagioli,ITA,Centrocampista,23-197,2,0,0,0,0,0.0,0.0,2,4,1,0.0,0.0,0.01,0.02
2425,Juventus,Nicolò Savona,ITA,Difensore,21-161,2,1,0,1,0,0.1,0.0,2,4,3,0.74,0.0,0.11,0.0
2425,Juventus,Pierre Kalulu,FRA,Difensore,24-083,1,0,0,0,0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0
2425,Juventus,Samuel Mbangula,BEL,Attaccante,20-224,2,1,2,1,0,0.1,0.2,9,4,12,0.57,1.14,0.07,0.14
2425,Juventus,Timothy Weah,USA,Attaccante,24-187,1,1,0,1,0,0.1,0.0,4,1,2,2.0,0.0,0.23,0.0
2425,Lazio,Adam Marušić,MNE,Difensore,31-315,2,0,0,0,0,0.0,0.0,1,9,4,0.0,0.0,0.02,0.02
2425,Lazio,Alessio Romagnoli,ITA,Difensore,29-228,2,0,0,0,0,0.1,0.0,1,4,0,0.0,0.0,0.05,0.0
2425,Lazio,Boulaye Dia,SEN,Centrocampista,27-285,1,0,0,0,0,0.0,0.1,0,2,1,0.0,0.0,0.1,0.32
2425,Lazio,Elseid Hysaj,ALB,Difensore,30-189,1,0,0,0,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0
2425,Lazio,Fisayo Dele-Bashiru,NGA,Centrocampista,23-203,2,0,0,0,0,0.1,0.0,3,3,11,0.0,0.0,0.05,0.02
2425,Lazio,Gaetano Castrovilli,ITA,Centrocampista,27-192,1,0,0,0,0,0.0,0.7,1,1,0,0.0,0.0,0.0,15.47
2425,Lazio,Gustav Isaksen,DEN,Attaccante,23-130,2,1,0,1,0,0.6,0.0,1,0,9,2.0,0.0,1.1,0.0
2425,Lazio,Ivan Provedel,ITA,Portiere,30-163,2,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02
2425,Lazio,Loum Tchaouna,FRA,Attaccante,20-354,2,0,0,0,0,0.7,0.3,5,2,6,0.0,0.0,2.69,1.0
2425,Lazio,Manuel Lazzari,ITA,Difensore,30-272,2,0,0,0,0,0.0,0.1,11,13,15,0.0,0.0,0.0,0.07
2425,Lazio,Mattia Zaccagni,ITA,Attaccante,29-072,2,1,0,0,1,1.0,0.4,5,7,10,0.57,0.0,0.58,0.2
2425,Lazio,Mattéo Guendouzi,FRA,Centrocampista,25-135,2,0,0,0,0,0.0,0.0,4,17,4,0.0,0.0,0.01,0.0
2425,Lazio,Matías Vecino,URU,Centrocampista,33-003,2,0,0,0,0,0.2,0.0,0,2,0,0.0,0.0,0.14,0.02
2425,Lazio,Nicolò Casale,ITA,Difensore,26-195,2,0,0,0,0,0.0,0.0,0,6,0,0.0,0.0,0.03,0.0
2425,Lazio,Nicolò Rovella,ITA,Centrocampista,22-267,1,0,0,0,0,0.0,0.0,1,10,2,0.0,0.0,0.0,0.05
2425,Lazio,Patric,ESP,Difensore,31-132,1,0,0,0,0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0
2425,Lazio,Pedro,ESP,Attaccante,37-030,1,0,0,0,0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
2425,Lazio,Tijjani Noslin,NED,Attaccante,25-051,2,0,0,0,0,0.0,0.2,4,5,11,0.0,0.0,0.03,0.11
2425,Lazio,Valentín Castellanos,ARG,Attaccante,25-329,2,1,0,1,0,1.0,0.0,5,3,12,0.51,0.0,0.49,0.0
2425,Lecce,Antonino Gallo,ITA,Difensore,24-235,2,0,0,0,0,0.0,0.5,2,8,6,0.0,0.0,0.02,0.23
2425,Lecce,Balthazar Pierret,FRA,Centrocampista,24-104,2,0,0,0,0,0.0,0.1,2,7,1,0.0,0.0,0.0,0.04
2425,Lecce,Federico Baschirotto,ITA,Difensore,27-342,2,0,0,0,0,0.2,0.0,1,4,1,0.0,0.0,0.09,0.01
2425,Lecce,Filip Marchwiński,POL,Centrocampista,22-230,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Lecce,Gaspar,ANG,Difensore,26-335,2,0,0,0,0,0.1,0.0,1,2,0,0.0,0.0,0.03,0.0
2425,Lecce,Hamza Rafia,TUN,Centrocampista,25-147,2,0,0,0,0,0.1,0.5,2,9,9,0.0,0.0,0.06,0.3
2425,Lecce,Lameck Banda,ZAM,Attaccante,23-211,2,0,0,0,0,0.3,0.1,2,2,10,0.0,0.0,0.27,0.05
2425,Lecce,Lassana Coulibaly,MLI,Centrocampista,28-139,2,0,0,0,0,0.0,0.3,1,2,1,0.0,0.0,0.0,0.53
2425,Lecce,Medon Berisha,ALB,Attaccante,20-311,2,0,0,0,0,0.1,0.0,1,2,2,0.0,0.0,0.34,0.0
2425,Lecce,Nikola Krstović,MNE,Attaccante,24-144,2,0,0,0,0,0.4,0.0,1,5,5,0.0,0.0,0.26,0.0
2425,Lecce,Patrick Dorgu,DEN,Attaccante,19-306,2,0,0,0,0,0.3,0.1,6,1,9,0.0,0.0,0.13,0.03
2425,Lecce,Santiago Pierotti,ARG,Attaccante,23-146,2,0,0,0,0,0.1,0.0,1,0,3,0.0,0.0,0.16,0.09
2425,Lecce,Tete Morente,ESP,Attaccante,27-267,2,0,0,0,0,0.0,0.0,3,4,6,0.0,0.0,0.0,0.0
2425,Lecce,Valentin Gendrey,FRA,Difensore,24-067,2,0,0,0,0,0.2,0.1,7,5,4,0.0,0.0,0.09,0.05
2425,Lecce,Wladimiro Falcone,ITA,Portiere,29-137,2,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Lecce,Ylber Ramadani,ALB,Centrocampista,28-137,2,0,0,0,0,0.1,0.0,2,7,1,0.0,0.0,0.07,0.02
2425,Milan,Alexis Saelemaekers,BEL,,25-061,1,0,0,0,0,0.0,0.1,7,4,13,0.0,0.0,0.0,0.06
2425,Milan,Christian Pulisic,USA,Attaccante,25-344,2,1,0,1,0,1.4,0.4,13,6,17,0.57,0.0,0.8,0.21
2425,Milan,Davide Calabria,ITA,Difensore,27-265,2,0,0,0,0,0.0,0.2,5,16,10,0.0,0.0,0.0,0.11
2425,Milan,Emerson,BRA,Difensore,25-226,1,0,0,0,0,0.0,0.0,1,2,2,0.0,0.0,0.0,0.0
2425,Milan,Fikayo Tomori,ENG,Difensore,26-252,2,0,0,0,0,0.0,0.0,2,9,0,0.0,0.0,0.01,0.01
2425,Milan,Ismaël Bennacer,ALG,Centrocampista,26-270,1,0,0,0,0,0.0,0.1,0,4,0,0.0,0.0,0.0,0.14
2425,Milan,Luka Jović,SRB,Attaccante,26-248,2,0,0,0,0,0.1,0.1,1,3,6,0.0,0.0,0.1,0.07
2425,Milan,Malick Thiaw,GER,Difensore,23-019,1,0,0,0,0,0.1,0.0,0,7,0,0.0,0.0,0.09,0.0
2425,Milan,Mike Maignan,FRA,Portiere,29-055,2,0,0,0,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0
2425,Milan,Noah Okafor,SUI,Attaccante,24-095,2,1,0,1,0,0.6,0.0,1,1,6,0.97,0.0,0.59,0.0
2425,Milan,Rafael Leão,POR,Attaccante,25-078,2,0,1,0,0,1.2,1.2,15,14,33,0.0,0.5,0.58,0.6
2425,Milan,Ruben Loftus-Cheek,ENG,Centrocampista,28-217,2,0,0,0,0,0.0,0.5,5,14,11,0.0,0.0,0.0,0.26
2425,Milan,Samuel Chukwueze,NGA,Attaccante,25-097,2,0,0,0,0,0.1,0.0,1,0,11,0.0,0.0,0.13,0.04
2425,Milan,Strahinja Pavlović,SRB,Difensore,23-095,1,0,0,0,0,0.2,0.0,2,11,1,0.0,0.0,0.21,0.0
2425,Milan,Theo Hernández,FRA,Difensore,26-326,2,0,0,0,0,0.1,0.1,6,15,12,0.0,0.0,0.09,0.06
2425,Milan,Tijjani Reijnders,NED,Centrocampista,26-029,2,0,0,0,0,0.1,0.2,6,11,6,0.0,0.0,0.08,0.13
2425,Milan,Youssouf Fofana,FRA,Centrocampista,25-230,1,0,0,0,0,0.0,0.0,1,5,0,0.0,0.0,0.0,0.0
2425,Milan,Yunus Musah,USA,Centrocampista,21-272,2,0,1,0,0,0.2,0.3,5,10,2,0.0,1.07,0.18,0.31
2425,Milan,Álvaro Morata,ESP,Attaccante,31-309,1,1,0,1,0,0.1,0.0,1,1,3,2.9,0.0,0.24,0.13
2425,Monza,Andrea Petagna,ITA,Attaccante,29-058,2,0,0,0,0,0.2,0.0,2,1,7,0.0,0.0,0.1,0.0
2425,Monza,Armando Izzo,ITA,Difensore,32-178,2,0,0,0,0,0.0,0.1,1,6,0,0.0,0.0,0.01,0.05
2425,Monza,Daniel Maldini,ITA,Centrocampista,22-321,2,0,0,0,0,0.1,0.0,1,6,4,0.0,0.0,0.07,0.0
2425,Monza,Dany Mota,POR,Centrocampista,26-117,2,0,0,0,0,0.0,0.0,6,3,7,0.0,0.0,0.0,0.04
2425,Monza,Gianluca Caprari,ITA,Centrocampista,31-028,2,0,0,0,0,0.0,0.1,2,2,9,0.0,0.0,0.0,0.24
2425,Monza,Giorgos Kyriakopoulos,GRE,Difensore,28-204,2,0,0,0,0,0.1,0.1,3,13,8,0.0,0.0,0.03,0.07
2425,Monza,Luca Caldirola,ITA,Difensore,33-208,2,0,0,0,0,0.2,0.0,1,6,2,0.0,0.0,0.09,0.0
2425,Monza,Matteo Pessina,ITA,Centrocampista,27-128,2,0,0,0,0,0.0,0.0,0,5,4,0.0,0.0,0.0,0.0
2425,Monza,Milan Đurić,BIH,Attaccante,34-097,1,0,0,0,0,0.0,0.0,0,0,3,0.0,0.0,0.11,0.0
2425,Monza,Pablo Marí,ESP,Difensore,30-362,2,0,0,0,0,0.2,0.1,0,8,0,0.0,0.0,0.08,0.03
2425,Monza,Pedro Pereira,POR,Difensore,26-218,1,0,0,0,0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0
2425,Monza,Roberto Gagliardini,ITA,,30-142,2,0,0,0,0,0.0,0.2,2,6,2,0.0,0.0,0.0,0.25
2425,Monza,Samuele Birindelli,ITA,Difensore,25-039,2,0,0,0,0,0.0,0.0,0,5,9,0.0,0.0,0.02,0.02
2425,Monza,Samuele Vignato,ITA,Centrocampista,20-185,2,0,0,0,0,0.0,0.0,0,1,9,0.0,0.0,0.04,0.0
2425,Monza,Semuel Pizzignacco,ITA,Portiere,22-361,2,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Monza,Warren Bondo,FRA,Centrocampista,20-347,2,0,0,0,0,0.0,0.0,3,4,2,0.0,0.0,0.0,0.02
2425,Napoli,Alessandro Buongiorno,ITA,Difensore,25-082,1,0,0,0,0,0.0,0.0,1,3,1,0.0,0.0,0.0,0.0
2425,Napoli,Alex Meret,ITA,Portiere,27-158,2,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Napoli,Amir Rrahmani,KVX,Difensore,30-185,2,0,1,0,0,0.2,0.1,1,8,0,0.0,0.5,0.08,0.07
2425,Napoli,Andre-Frank Zambo Anguissa,CMR,Centrocampista,28-285,2,0,0,0,0,0.3,0.0,2,11,4,0.0,0.0,0.13,0.02
2425,Napoli,Cyril Ngonge,BEL,Difensore,24-093,1,0,0,0,0,0.1,0.0,1,2,7,0.0,0.0,0.41,0.0
2425,Napoli,David Neres,BRA,Centrocampista,27-177,1,0,1,0,0,0.0,0.6,1,1,1,0.0,30.0,0.0,18.12
2425,Napoli,Giacomo Raspadori,ITA,Attaccante,24-191,2,0,0,0,0,0.3,0.2,2,7,7,0.0,0.0,0.23,0.11
2425,Napoli,Giovanni Di Lorenzo,ITA,Difensore,31-023,2,1,0,1,0,0.8,0.3,3,14,8,0.5,0.0,0.39,0.17
2425,Napoli,Giovanni Simeone,ARG,Attaccante,29-053,2,1,0,1,0,0.6,0.0,1,2,8,1.06,0.0,0.64,0.04
2425,Napoli,Juan Jesus,BRA,Difensore,33-078,1,0,0,0,0,0.1,0.0,2,7,2,0.0,0.0,0.12,0.0
2425,Napoli,Khvicha Kvaratskhelia,GEO,Centrocampista,23-197,2,1,1,1,0,0.3,0.9,9,4,7,0.67,0.67,0.17,0.59
2425,Napoli,Leonardo Spinazzola,ITA,Difensore,31-155,2,0,0,0,0,0.0,0.0,2,1,2,0.0,0.0,0.05,0.0
2425,Napoli,Mathías Olivera,URU,Difensore,26-301,2,0,0,0,0,0.0,0.4,1,1,4,0.0,0.0,0.0,0.25
2425,Napoli,Matteo Politano,ITA,Centrocampista,31-024,2,0,0,0,0,0.6,0.4,7,9,18,0.0,0.0,0.3,0.18
2425,Napoli,Pasquale Mazzocchi,ITA,Difensore,29-031,2,0,0,0,0,0.1,0.1,6,5,11,0.0,0.0,0.05,0.06
2425,Napoli,Stanislav Lobotka,SVK,Centrocampista,29-276,2,0,0,0,0,0.2,0.0,3,7,1,0.0,0.0,0.08,0.01
2425,Napoli,Walid Cheddira,MAR,Attaccante,26-218,1,0,0,0,0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.2
2425,Parma,Adrian Bernabe,ESP,Centrocampista,23-093,2,0,0,0,0,0.0,0.0,2,4,2,0.0,0.0,0.01,0.01
2425,Parma,Alessandro Circati,AUS,Difensore,20-322,2,0,0,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0
2425,Parma,Ange-Yoan Bonny,FRA,Attaccante,20-307,2,0,1,0,0,0.2,0.5,1,5,8,0.0,0.58,0.1,0.31
2425,Parma,Antoine Hainaut,FRA,Attaccante,22-191,1,0,0,0,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0
2425,Parma,Botond Balogh,HUN,Difensore,22-082,2,0,0,0,0,0.0,0.0,1,2,0,0.0,0.0,0.0,0.0
2425,Parma,Dennis Man,ROU,Attaccante,26-001,2,2,0,2,0,0.8,0.6,2,2,10,1.31,0.0,0.53,0.43
2425,Parma,Drissa Camara,CIV,Attaccante,22-191,1,0,0,0,0,0.0,0.0,1,2,0,0.0,0.0,0.06,0.0
2425,Parma,Emanuele Valeri,ITA,Difensore,25-264,2,0,1,0,0,0.0,0.5,3,3,5,0.0,0.5,0.0,0.23
2425,Parma,Enrico Del Prato,ITA,,24-291,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Parma,Matteo Cancellieri,ITA,,22-197,2,1,0,1,0,0.6,0.0,3,3,6,1.91,0.0,1.22,0.03
2425,Parma,Nahuel Estévez,ARG,Centrocampista,28-287,2,0,0,0,0,0.0,0.0,0,4,0,0.0,0.0,0.02,0.02
2425,Parma,Pontus Almqvist,SWE,Attaccante,25-048,2,0,1,0,0,0.0,0.8,2,1,1,0.0,2.09,0.09,1.74
2425,Parma,Simon Sohm,SUI,Centrocampista,23-138,2,0,0,0,0,0.6,0.0,1,6,2,0.0,0.0,0.39,0.0
2425,Parma,Valentin Mihaila,ROU,Attaccante,24-207,2,0,0,0,0,1.0,0.1,6,4,8,0.0,0.0,0.71,0.05
2425,Parma,Woyo Coulibaly,FRA,,25-099,2,0,0,0,0,0.0,0.0,8,7,4,0.0,0.0,0.0,0.02
2425,Parma,Wylan Cyprien,FRA,Centrocampista,29-212,2,0,0,0,0,0.2,0.0,1,2,0,0.0,0.0,0.63,0.0
2425,Parma,Zion Suzuki,JPN,Portiere,22-006,2,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Roma,Angeliño,ESP,Difensore,27-236,2,0,0,0,0,0.0,0.1,4,25,5,0.0,0.0,0.02,0.03
2425,Roma,Artem Dovbyk,UKR,Attaccante,27-067,2,0,0,0,0,1.0,0.1,1,0,8,0.0,0.0,0.52,0.03
2425,Roma,Bryan Cristante,ITA,Centrocampista,29-177,2,0,0,0,0,0.0,0.1,2,13,3,0.0,0.0,0.01,0.05
2425,Roma,Eldor Shomurodov,UZB,Difensore,29-059,1,1,0,1,0,0.6,0.0,1,1,4,6.43,0.0,3.72,0.21
2425,Roma,Enzo Le Fée,FRA,Centrocampista,24-206,2,0,0,0,0,0.2,0.1,3,5,1,0.0,0.0,0.18,0.1
2425,Roma,Gianluca Mancini,ITA,Difensore,28-132,2,0,0,0,0,0.1,0.1,6,10,2,0.0,0.0,0.04,0.03
2425,Roma,Leandro Paredes,ARG,Centrocampista,30-059,1,0,0,0,0,0.0,0.0,0,3,0,0.0,0.0,0.06,0.02
2425,Roma,Lorenzo Pellegrini,ITA,Centrocampista,28-069,2,0,0,0,0,0.4,0.2,1,4,10,0.0,0.0,0.21,0.08
2425,Roma,Matìas Soulé,ARG,Attaccante,21-134,2,0,0,0,0,0.1,0.1,10,8,24,0.0,0.0,0.06,0.04
2425,Roma,Mile Svilar,SRB,Portiere,25-000,2,0,0,0,0,0.0,0.0,0,1,0,0.0,0.0,0.02,0.0
2425,Roma,Nicola Zalewski,POL,,22-217,2,0,0,0,0,0.1,0.6,10,4,18,0.0,0.0,0.07,0.49
2425,Roma,Obite N'Dicka,CIV,Difensore,25-007,2,0,0,0,0,0.0,0.0,4,8,1,0.0,0.0,0.0,0.0
2425,Roma,Paulo Dybala,ARG,,30-286,2,0,0,0,0,0.2,0.7,2,4,10,0.0,0.0,0.18,0.56
2425,Roma,Stephan El Shaarawy,ITA,Attaccante,31-305,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,3.63,0.0
2425,Roma,Tammy Abraham,ENG,Attaccante,26-330,1,0,0,0,0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0
2425,Roma,Tommaso Baldanzi,ITA,Centrocampista,21-157,2,0,1,0,0,0.2,0.1,5,1,5,0.0,1.55,0.35,0.13
2425,Roma,Zeki Çelik,TUR,Difensore,27-192,2,0,0,0,0,0.0,0.0,4,10,5,0.0,0.0,0.02,0.0
2425,Torino,Aaron Ciammaglichella,ITA,Centrocampista,19-214,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Torino,Adam Masina,MAR,Difensore,30-238,2,0,0,0,0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0
2425,Torino,Adrien Tameze,CMR,,30-205,2,0,0,0,0,0.0,0.3,0,1,2,0.0,0.0,0.0,0.29
2425,Torino,Ali Dembélé,FRA,Difensore,20-235,2,0,0,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0
2425,Torino,Antonio Sanabria,PAR,Attaccante,28-176,1,0,0,0,0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.07
2425,Torino,Borna Sosa,CRO,Difensore,26-219,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Torino,Che Adams,SCO,Attaccante,28-045,2,1,1,1,0,0.9,0.6,2,4,6,0.75,0.75,0.67,0.46
2425,Torino,Duván Zapata,COL,Attaccante,33-148,2,1,0,1,0,1.7,0.2,2,1,6,0.56,0.0,0.95,0.13
2425,Torino,Ivan Ilić,SRB,Centrocampista,23-163,2,1,0,1,0,0.6,0.2,4,4,8,0.56,0.0,0.35,0.14
2425,Torino,Karol Linetty,POL,Centrocampista,29-207,2,0,0,0,0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.01
2425,Torino,Mërgim Vojvoda,KVX,Difensore,29-208,2,0,0,0,0,0.0,0.0,0,7,1,0.0,0.0,0.01,0.0
2425,Torino,Raoul Bellanova,ITA,Difensore,24-102,1,0,0,0,0,0.0,0.1,4,0,5,0.0,0.0,0.03,0.07
2425,Torino,Saba Sazonov,GEO,Difensore,22-208,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2425,Torino,Samuele Ricci,ITA,Centrocampista,23-006,2,0,0,0,0,0.0,0.0,0,3,0,0.0,0.0,0.01,0.01
